기준년월,연도,월,조회기간 방문자 수,전년동기 방문자 수,전년대비 증감 비율,조회기간 방문비율,전년동기 방문비율,날짜,감소여부
202401,2024,01,9911847,4368380,126.9,8.04,9.99,2024-01-01,0
202402,2024,02,10211435,4739971,115.43,8.99,12.68,2024-02-01,0
202403,2024,03,12783938,4722607,170.7,12.29,16.02,2024-03-01,0
202404,2024,04,13527483,10104137,33.88,7.97,7.57,2024-04-01,0
202405,2024,05,12580289,10259421,22.62,9.97,10.04,2024-05-01,0
202406,2024,06,12192541,10111077,20.59,10.08,10.07,2024-06-01,0
202407,2024,07,12608355,10999480,14.63,9.13,9.32,2024-07-01,0
202408,2024,08,12971912,12149497,6.77,12.51,11.04,2024-08-01,0
202409,2024,09,12501420,11566030,8.09,11.68,10.71,2024-09-01,0
202410,2024,10,14873419,12887850,15.41,11.54,9.62,2024-10-01,0
202411,2024,11,12026157,11258635,6.82,11.75,11.75,2024-11-01,0
202412,2024,12,11405438,11070116,3.03,10,8.88,2024-12-01,0
202501,2025,01,9840391,9911847,-0.72,10.44,8.04,2025-01-01,1
202502,2025,02,8957723,10211435,-12.28,11.51,8.99,2025-02-01,1
202503,2025,03,12562488,12783938,-1.73,13.8,12.29,2025-03-01,1
202504,2025,04,14892055,13527483,10.09,10.52,7.97,2025-04-01,0
202505,2025,05,15208379,12580289,20.89,11.08,9.97,2025-05-01,0
202506,2025,06,14901922,12192541,22.22,9.64,10.08,2025-06-01,0
202507,2025,07,18325189,12608355,45.34,10.39,9.13,2025-07-01,0
202508,2025,08,15169921,12971912,16.94,9.55,12.51,2025-08-01,0
202509,2025,09,14592578,12501420,16.73,10.92,11.68,2025-09-01,0
202510,2025,10,16301178,14873419,9.6,13.94,11.54,2025-10-01,0
202511,2025,11,15057241,12026157,25.2,14.89,11.75,2025-11-01,0
202512,2025,12,13828004,11405438,21.24,10.29,10,2025-12-01,0
